INFO  12-11 05:12:52,437 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 12-11 05:12:52,492 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 12-11 05:12:52,499 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 12-11 05:12:52,499 (PGDParser.java:parse:54)  -Reading data from inputstream...
INFO  12-11 05:12:52,946 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 12-11 05:12:53,001 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 12-11 05:12:53,008 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 12-11 05:12:53,009 (PGDParser.java:parse:54)  -Reading data from inputstream...
INFO  12-11 05:12:53,433 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/jorge/PGDSpider_2.1.1.2/spider.conf.xml
DEBUG 12-11 05:12:53,488 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 12-11 05:12:53,495 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 12-11 05:12:53,496 (PGDParser.java:parse:54)  -Reading data from inputstream...
